price,attr_space,attr_type,chinese_content,datetime,mapaddress,where,name,url
$3795,950ft2,3BR / 2Ba,False,2017-07-08 09:52,600 N Whisman Road,mountain view,1 Months Free Rent on July Move-in!!,"<a href=""http://sfbay.craigslist.org/pen/apa/6210341631.html"">link</a>"
$5100,1694ft2,3BR / 3Ba,False,2017-07-08 07:11,175 Sherland Ave,mountain view,Open Sat! Lovely townhome in garden setting! Close to top employers.,"<a href=""http://sfbay.craigslist.org/pen/apa/6210085048.html"">link</a>"
$4344,1394ft2,3BR / 2Ba,False,2017-07-07 17:36,E. Evelyn Ave at S. Bayview Ave,Sunnyvale,"CHECK OUT THIS BRAND-NEW, PET-FRIENDLY 3BR/2BA APARTMENT","<a href=""http://sfbay.craigslist.org/pen/apa/6209537973.html"">link</a>"
