price,attr_space,attr_type,chinese_content,datetime,mapaddress,where,name,url
$3779,975ft2,2BR / 2Ba,False,2017-07-06 10:16,707 Continental Cir,mountain view,Corner Unit Home with Renovated Interiors!,"<a href=""<a href=""http://sfbay.craigslist.org/pen/apa/6207282105.html"">link</a>"">link</a>"
$3836,1311ft2,2BR / 2Ba,False,2017-07-05 18:18,E. Evelyn Ave at S. Bayview Ave,Sunnyvale,2X2 CORNER APT. WITH SWEEPING VIEWS FROM THE FLOOR-TO-CEILING WINDOWS,"<a href=""<a href=""http://sfbay.craigslist.org/pen/apa/6206446926.html"">link</a>"">link</a>"
$3300,1087ft2,2BR / 1Ba,False,2017-07-05 14:07,264 Whisman Rd.,mountain view,Spacious condo in Mountain View,"<a href=""<a href=""http://sfbay.craigslist.org/pen/apa/6206118539.html"">link</a>"">link</a>"
